date,n1,n2,n3,n4,n5,n6
2022-07-23,45,43,14,16,38,3
2022-07-20,39,21,16,44,20,55
2022-07-16,58,32,11,27,59,40
2022-07-13,32,55,25,16,5,39
2022-07-09,38,11,56,59,47,19
2022-07-06,26,47,9,29,46,12
2022-07-02,14,5,48,52,46,23
2022-06-30,46,31,26,58,38,7
2022-06-28,33,41,8,12,30,14
2022-06-25,22,1,54,4,10,53
2022-06-22,44,4,56,9,37,43
2022-06-18,33,10,52,31,42,30
2022-06-15,53,48,29,43,38,22
2022-06-11,11,16,41,17,46,59
2022-06-08,13,10,41,25,42,3
2022-06-04,40,34,57,31,17,56
2022-06-02,54,42,48,36,23,58
2022-05-31,19,8,9,33,17,56
2022-05-28,60,12,38,47,5,32
2022-05-25,59,36,41,54,14,11
2022-05-21,54,49,34,38,40,20
2022-05-18,32,1,57,44,35,45
2022-05-14,1,37,36,21,8,27
2022-05-11,31,56,6,4,50,9
2022-05-07,21,10,35,20,17,15
2022-05-04,2,23,28,46,17,39
2022-04-30,20,49,33,37,50,38
2022-04-28,46,49,2,55,7,32
2022-04-26,60,45,1,44,58,40
2022-04-23,38,30,22,49,56,39
2022-04-20,55,15,28,60,42,18
2022-04-16,18,5,13,23,36,35
2022-04-13,30,8,23,29,55,36
2022-04-09,51,8,48,42,33,40
2022-04-06,5,55,38,30,28,52
2022-04-02,22,41,53,42,35,57
2022-03-30,1,10,45,19,35,34
2022-03-26,54,53,20,2,13,3
2022-03-23,29,54,53,8,3,23
2022-03-19,2,43,7,52,24,56
2022-03-16,11,31,16,42,51,37
2022-03-12,3,16,57,23,45,41
2022-03-09,37,32,21,11,16,8
2022-03-05,35,18,28,17,16,47
2022-03-03,33,49,15,59,24,53
2022-02-26,44,47,15,40,51,45
2022-02-24,50,49,19,47,10,46
2022-02-22,52,41,28,55,40,34
2022-02-19,59,53,38,21,50,56
2022-02-16,14,44,22,9,24,47
2022-02-12,44,24,10,34,14,15
2022-02-09,56,57,8,10,51,58
2022-02-05,13,51,26,60,31,46
2022-02-02,17,39,11,6,15,2
2022-01-29,14,49,52,31,20,21
2022-01-27,32,48,30,40,35,18
2022-01-25,52,13,19,42,49,29
2022-01-22,13,58,51,27,1,41
2022-01-19,25,32,47,11,37,56
2022-01-15,17,43,20,35,37,15
2022-01-12,31,1,12,13,5,17
2022-01-08,49,9,7,2,41,25
2022-01-05,42,9,41,54,46,47
2021-12-31,46,32,15,12,23,33
2021-12-18,47,38,2,34,51,8
2021-12-15,37,11,55,25,4,19
2021-12-11,41,19,55,1,46,48
2021-12-09,38,54,32,15,5,28
2021-12-07,32,30,36,33,22,5
2021-12-04,28,14,40,2,51,1
2021-12-01,8,53,9,57,32,52
2021-11-27,52,44,29,38,7,40
2021-11-24,11,36,26,25,8,22
2021-11-20,26,19,46,56,45,39
2021-11-17,60,11,56,37,53,55
2021-11-13,25,3,28,29,9,39
2021-11-10,56,3,19,25,37,44
2021-11-06,57,27,24,11,32,5
2021-11-03,46,38,31,10,54,49
2021-10-30,17,3,38,53,16,37
2021-10-27,51,18,48,60,38,16
2021-10-23,7,30,2,46,10,20
2021-10-21,32,48,35,57,2,3
2021-10-19,8,44,60,5,39,29
2021-10-16,10,53,43,48,35,50
2021-10-13,19,57,27,11,60,2
2021-10-09,3,11,27,46,7,10
2021-10-06,6,37,57,26,11,7
2021-10-02,29,12,60,26,35,10
2021-09-30,4,14,29,6,5,38
2021-09-28,48,37,22,3,40,41
2021-09-25,16,60,36,34,9,49
2021-09-22,7,26,43,44,34,29
2021-09-18,10,59,35,43,7,27
2021-09-15,58,39,49,2,52,29
2021-09-11,29,38,57,4,30,43
2021-09-08,17,43,31,13,55,54
2021-09-04,29,43,12,8,54,60
2021-09-01,21,38,59,53,49,48
2021-08-28,19,35,1,40,47,54
2021-08-25,32,12,14,34,33,10
